,CreditScore,AmountDeposited,AmountBorrowed,ValueOfTokensInUSD,CollateralValue,CumulativeBorrowed,CumulativeDeposited,Eligible
18,131.85781586313087,1.0,1,1.0,1,1,1,1
0,344.050044306207,3216168545583757.0,14864209463879565633782,4.0,19599621944392388904,5103749983.519471380106193313115723,123360620113.1491976771070125453266,True
1,2.6953955019610336,3216168545583757.0,14864209463879565633782,4.0,51140319246245057938,5103749983.519471380106193313115723,123360620113.1491976771070125453266,True
2,0.0007708082783028743,3216168545583757.0,14864209463879565633782,4.0,400649233291476096,5103749983.519471380106193313115723,123360620113.1491976771070125453266,True
3,0.03801393773201347,3216168545583757.0,14864209463879565633782,4.0,114574557051863,5103749983.519471380106193313115723,123360620113.1491976771070125453266,True
4,582.5120252263736,3216168545583757.0,14864209463879565633782,4.0,5650471329955230,5103749983.519471380106193313115723,123360620113.1491976771070125453266,True
5,31.90621826196914,3216168545583757.0,14864209463879565633782,4.0,86585807581935131840,5103749983.519471380106193313115723,123360620113.1491976771070125453266,True
6,96.94594226357677,3216168545583757.0,14864209463879565633782,4.0,4742607114461686484,5103749983.519471380106193313115723,123360620113.1491976771070125453266,True
7,24.575043201731113,3216168545583757.0,14864209463879565633782,4.0,14410247924789795554,5103749983.519471380106193313115723,123360620113.1491976771070125453266,True
8,0.002699901445210175,3216168545583757.0,14864209463879565633782,4.0,3652885897344208063,5103749983.519471380106193313115723,123360620113.1491976771070125453266,True
9,0.8248225901937808,3216168545583757.0,14864209463879565633782,4.0,401319006134352,5103749983.519471380106193313115723,123360620113.1491976771070125453266,True
10,358.09751799742094,3216168545583757.0,14864209463879565633782,4.0,122603357511800527,5103749983.519471380106193313115723,123360620113.1491976771070125453266,True
11,1435.3673257720645,3216168545583757.0,14864209463879565633782,4.0,53228365160090471121,5103749983.519471380106193313115723,123360620113.1491976771070125453266,True
12,33.07054421984059,3216168545583757.0,14864209463879565633782,4.0,213356005878846223028,5103749983.519471380106193313115723,123360620113.1491976771070125453266,True
13,138.01829161844017,3216168545583757.0,14864209463879565633782,4.0,4915674963682021532,5103749983.519471380106193313115723,123360620113.1491976771070125453266,True
14,918.3755613201998,3216168545583757.0,14864209463879565633782,4.0,20515327964633081573,5103749983.519471380106193313115723,123360620113.1491976771070125453266,True
15,0.8968263295931462,3216168545583757.0,14864209463879565633782,4.0,136509267099714211607,5103749983.519471380106193313115723,123360620113.1491976771070125453266,True
16,23.857362947230893,3216168545583757.0,14864209463879565633782,4.0,133306144157948197,5103749983.519471380106193313115723,123360620113.1491976771070125453266,True
17,111.99780080021952,3216168545583757.0,14864209463879565633782,4.0,3546208401034390983,5103749983.519471380106193313115723,123360620113.1491976771070125453266,True
18,1.0,3216168545583757.0,14864209463879565633782,4.0,16647587705883214256,5103749983.519471380106193313115723,123360620113.1491976771070125453266,True
